"First Name","Last Name","Gender","Age","Phone","Occupation","Experience (Years)","Salary","Number of Children"
"Adelaide","Farrell","Female","30","112-7716-34","Social Worker","14","939","5"
"Ryan","Anderson","Male","38","722-8995-47","Veterinarian","10","1402","0"
"Eleanor","Ellis","Female","31","780-2366-35","Driver","1","2557","1"
"Sawyer","Wright","Male","34","041-0146-13","Accountant","0","8473","0"
"Lilianna","Murphy","Female","37","962-3019-15","Social Worker","10","5880","0"
"Luke","Gibson","Male","30","915-4502-69","Mathematician","15","1262","1"
"Victor","Thompson","Male","31","898-7673-98","Historian","9","6409","0"
"Carlos","Parker","Male","34","482-8887-22","Manager","4","4141","2"
"Eric","Scott","Male","35","412-7542-56","Journalist","14","5172","0"
"Edward","Craig","Male","36","709-0669-65","Engineer","6","7871","5"
"Brooke","Evans","Female","40","790-3001-61","Lawer","17","4434","0"
"Roland","Walker","Male","32","474-6021-58","Insurer","12","9770","0"
"Olivia","Wilson","Female","30","440-3982-68","Engineer","3","6257","4"
"Dominik","Crawford","Male","31","704-9147-26","Journalist","0","6651","5"
"Abraham","Brown","Male","33","795-3926-46","Botanist","15","9740","1"
"Lydia","Dixon","Female","30","890-3508-46","Hairdresser","8","9938","0"
"Adrianna","Mitchell","Female","40","862-5297-90","Scientist","6","2754","5"
"Freddie","Thomas","Male","33","465-9178-05","Chemist","8","4350","4"
"Charlotte","Walker","Female","32","301-1454-82","Programmer","10","7097","5"
"Maximilian","Parker","Male","33","531-2076-02","Electrician","0","7895","4"
"Vivian","Jones","Female","34","241-4330-64","Economist","3","7414","2"
"Amy","Brooks","Female","31","995-1300-46","Driver","15","7536","3"
"Jasmine","Gray","Female","34","533-1267-38","Jeweller","15","3613","0"
"Rosie","Cole","Female","33","867-2510-85","Dancer","5","5471","0"
"Natalie","Owens","Female","32","676-9941-32","Meteorologist","10","717","2"
"Mary","Bennett","Female","36","287-4862-77","Driver","4","7979","4"
"George","Higgins","Male","36","681-6354-99","Hairdresser","14","4645","2"
"Ted","Armstrong","Male","33","781-5845-07","Veterinarian","11","8402","5"
"Fenton","Andrews","Male","35","889-2349-48","Programmer","16","7432","1"
"Antony","Wright","Male","40","004-4470-92","Lecturer","3","4917","5"
